mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.7902821699778239,0.17644690175701155,0.05355954170227051,0.006170224175932051,0.7,0.05,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-37.061374117991676,-31.21675508772158,-34.081578939441265,-34.1199027150515,2.3862096074572055,1,-14.162128001463973,-18.67286381768627,-20.90438710468619,-17.91312630794548,2.8044506611843576
0.7991535663604736,0.17135503377183098,0.054296255111694336,0.004177516015195225,0.7,0.05,6,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-37.435697940242996,-31.035502922952286,-34.04185142407273,-34.17101742908934,2.614464503166588,2,-13.837905790910659,-18.373093116526196,-20.638595768191696,-17.61653155854285,2.82744113820681
0.45408256848653156,0.09531142992488927,0.02712225914001465,0.001463162109672443,0.7,0.05,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-37.47956449898024,-30.916357024782698,-34.2848922846551,-34.22693793613934,2.679731593179253,3,-16.42300956786919,-20.95593676998703,-23.0473241942761,-20.14209017737744,2.764916608101567
1.1616663932800293,0.2815455692768338,0.06912676493326823,0.005132533076616807,0.8,0.05,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-37.534281693250136,-31.045740549274516,-34.13864561857811,-34.23955595370092,2.6498966918312195,4,-13.675043114019518,-18.336424373922892,-20.636864111093097,-17.549443866345168,2.8961171291120236
0.4296542803446452,0.10496418149206697,0.02706305185953776,0.0003895140059989875,0.7,0.05,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-37.32709669290703,-31.11440745619571,-34.32275767208038,-34.25475394039437,2.536775547636484,5,-16.76837708305075,-21.076225577664744,-23.219726964507725,-20.354776541741074,2.682703282986538
0.6053080558776855,0.14840219538927926,0.03426567713419596,0.002454871017943585,0.8,0.05,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-37.43789385471446,-31.01374279384987,-34.45313437410514,-34.301590340889824,2.6248369357230907,6,-16.37839849771936,-20.87208716523573,-23.04906303818616,-20.099849567047084,2.777493418402332
1.0661768913269043,0.34347827844677153,0.0431372324625651,0.005587888426547543,0.9,0.05,6,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-37.648618889390804,-31.02478638784643,-34.259778969412814,-34.31106141555002,2.704411417060437,7,-16.30143762992575,-20.737172727463008,-22.957852384295656,-19.998820913894807,2.7671690583215103
1.3447972933451335,0.28123658441115895,0.07712777455647786,0.006842591085003101,0.7,0.05,6,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-37.47369514494503,-31.360958301435392,-34.11584184117581,-34.316831762518746,2.499558046383551,8,-12.066726010420084,-16.858305169177324,-19.142025122983913,-16.02235210086044,2.9483416279193224
1.1381844679514568,0.21582821145375916,0.07411591211954753,0.010506384787257243,0.8,0.05,6,200,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-37.763544008609955,-31.206988474103003,-33.99696606921639,-34.32249951730978,2.68658198443538,9,-14.165074399340098,-18.456108849268173,-20.83649461567887,-17.819225954762377,2.7605768469324152
1.756434679031372,0.3691125821361418,0.09059747060139973,0.017792744748527416,0.9,0.05,6,200,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-37.70576869673092,-31.145393561058928,-34.13782717943447,-34.32966314574144,2.681694894236669,10,-13.458111479995669,-18.120401928484867,-20.56123443235015,-17.379915946943562,2.946730225827791
