feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,22.279379,1,100.0
sales_lag_7,12.904412,2,57.92088
sales_rolling_mean_7,8.256348,3,37.05825
dayofweek,7.6998034,4,34.560223
sales_lag_1,5.5995073,5,25.133139
sales_lag_14,5.213453,6,23.40035
sales_lag_28,4.0289745,7,18.083874
onpromotion,2.760931,8,12.392316
day,2.555828,9,11.471721
is_weekend,2.2531402,10,10.113119
cpi_normalized,2.113137,11,9.484722
family_encoded,2.109987,12,9.470583
sales_rolling_std_7,0.8783445,13,3.94241
rainfall_mm,0.6886029,14,3.0907636
sales_lag_2,0.63079953,15,2.8313155
month,0.3733752,16,1.6758779
windspeed_kmh,0.34083727,17,1.529833
temperature_c,0.23155378,18,1.0393188
is_month_start,0.14315312,19,0.6425364
quarter,0.09267071,20,0.41594836
fuel_normalized,0.026814584,21,0.12035606
holiday_impact,0.017279897,22,0.07756005
is_month_end,0.0015335733,23,0.0068833753
