feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,35.459442,1,100.0
sales_rolling_mean_7,20.430029,2,57.615204
sales_lag_7,18.572342,3,52.376293
sales_lag_14,7.7151203,4,21.757591
sales_lag_1,6.8279777,5,19.25574
dayofweek,6.3657565,6,17.952219
sales_lag_28,5.9187574,7,16.691628
family_encoded,2.3612447,8,6.6590014
day,2.2774768,9,6.4227657
is_weekend,1.7150023,10,4.836518
sales_rolling_std_7,1.4140991,11,3.9879336
cpi_normalized,1.3670632,12,3.8552866
onpromotion,0.7160717,13,2.0194106
sales_lag_2,0.69591373,14,1.9625624
rainfall_mm,0.4565622,15,1.2875617
windspeed_kmh,0.3415156,16,0.96311617
month,0.22221555,17,0.62667525
temperature_c,0.21606348,18,0.60932565
is_month_start,0.10140856,19,0.28598464
quarter,0.059165187,20,0.16685311
holiday_impact,0.009801869,21,0.027642481
fuel_normalized,0.008031561,22,0.022649992
is_month_end,0.0023914427,23,0.006744163
