feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,87.42716,1,100.0
sales_rolling_mean_7,39.15932,2,44.790794
sales_lag_7,37.217766,3,42.570026
family_encoded,20.503572,4,23.452177
sales_lag_28,13.401171,5,15.328383
dayofweek,13.322622,6,15.238539
sales_lag_1,10.972991,7,12.55101
sales_lag_14,9.94101,8,11.37062
onpromotion,6.695064,9,7.6578765
day,4.4942107,10,5.14052
is_weekend,3.3320909,11,3.8112764
cpi_normalized,3.0256686,12,3.460788
windspeed_kmh,1.7324753,13,1.9816213
rainfall_mm,1.6084629,14,1.8397748
sales_rolling_std_7,1.5503746,15,1.7733328
sales_lag_2,1.2342075,16,1.411698
temperature_c,1.1362455,17,1.2996482
month,0.8163242,18,0.93371916
quarter,0.26918757,19,0.30789924
is_month_start,0.12931064,20,0.1479067
holiday_impact,0.07555202,21,0.086417094
fuel_normalized,0.066517375,22,0.07608319
is_month_end,0.024279052,23,0.027770605
