feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,25.868837,1,100.0
sales_lag_7,13.950268,2,53.92692
sales_rolling_mean_7,11.716123,3,45.29049
dayofweek,7.847421,4,30.335423
sales_lag_14,5.7712536,5,22.309675
sales_lag_1,5.6513276,6,21.846083
sales_lag_28,4.452335,7,17.21119
day,2.3550217,8,9.103702
is_weekend,2.2174387,9,8.571853
family_encoded,1.9186333,10,7.4167743
cpi_normalized,1.2781115,11,4.9407377
sales_rolling_std_7,1.0801109,12,4.1753364
onpromotion,0.7130174,13,2.7562792
rainfall_mm,0.6131192,14,2.3701072
sales_lag_2,0.6030918,15,2.3313448
windspeed_kmh,0.32755268,16,1.2662055
month,0.3072705,17,1.1878017
temperature_c,0.24162894,18,0.93405414
is_month_start,0.12560612,19,0.48554993
quarter,0.10038674,20,0.38806048
fuel_normalized,0.015738834,21,0.0608409
holiday_impact,0.008329337,22,0.032198343
is_month_end,0.0015381967,23,0.005946138
