feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,41.375137,1,100.0
sales_rolling_mean_7,22.989487,2,55.563526
sales_lag_7,20.187105,3,48.790424
sales_lag_14,8.435615,4,20.388124
sales_lag_1,7.9615397,5,19.242329
sales_lag_28,6.4356236,6,15.554325
dayofweek,6.0141068,7,14.535557
family_encoded,3.0875072,8,7.4622283
onpromotion,2.4086182,9,5.8214145
day,2.2010128,10,5.3196507
sales_rolling_std_7,1.5465602,11,3.7378974
is_weekend,1.5039984,12,3.6350296
cpi_normalized,1.0419146,13,2.5182142
sales_lag_2,0.660674,14,1.5967898
rainfall_mm,0.4585023,15,1.108159
windspeed_kmh,0.26560974,16,0.64195496
month,0.18748108,17,0.45312494
temperature_c,0.17131622,18,0.41405594
is_month_start,0.092771314,19,0.22421996
quarter,0.056616955,20,0.13683811
fuel_normalized,0.014860405,21,0.035916265
holiday_impact,0.011697029,22,0.02827067
is_month_end,0.0014782638,23,0.003572831
