feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,38.71375,1,100.0
sales_rolling_mean_7,21.19586,2,54.75021
sales_lag_7,18.81702,3,48.605522
sales_lag_14,7.528462,4,19.446482
sales_lag_1,6.471279,5,16.715714
sales_lag_28,5.7616954,6,14.882814
dayofweek,5.6721654,7,14.651553
family_encoded,2.4860067,8,6.421509
onpromotion,2.2745218,9,5.8752303
day,2.2078097,10,5.7029085
is_weekend,1.5060966,11,3.8903403
sales_rolling_std_7,1.3256751,12,3.4243007
cpi_normalized,1.0277764,13,2.6548097
sales_lag_2,0.6387364,14,1.6498955
rainfall_mm,0.38288054,15,0.989004
windspeed_kmh,0.2520724,16,0.6511185
month,0.187501,17,0.48432663
temperature_c,0.16326717,18,0.42172918
is_month_start,0.09483941,19,0.24497604
quarter,0.056074683,20,0.14484437
fuel_normalized,0.012472746,21,0.03221787
holiday_impact,0.011128032,22,0.028744392
is_month_end,0.0015183304,23,0.0039219414
