feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,172.75842,1,100.0
sales_rolling_mean_7,78.372574,2,45.365414
sales_lag_7,71.75785,3,41.53653
sales_lag_14,23.810827,4,13.782731
sales_lag_28,22.525711,5,13.03885
dayofweek,19.721542,6,11.415676
sales_lag_1,17.893358,7,10.357445
family_encoded,17.272497,8,9.998064
onpromotion,8.697326,9,5.034386
day,5.2274013,10,3.0258446
cpi_normalized,3.7366738,11,2.1629474
is_weekend,3.4965913,12,2.0239775
windspeed_kmh,2.4553533,13,1.421264
temperature_c,2.4096208,14,1.3947921
sales_lag_2,2.301501,15,1.3322077
sales_rolling_std_7,2.264257,16,1.3106493
rainfall_mm,2.1697526,17,1.255946
month,1.1952914,18,0.691886
quarter,0.24259287,19,0.14042318
is_month_start,0.20922212,20,0.12110675
holiday_impact,0.088309795,21,0.051117502
fuel_normalized,0.050958943,22,0.029497227
is_month_end,0.040052023,23,0.023183832
