feature,mean_abs_shap,rank,normalized
family_encoded,24.367393,1,100.0
sales_lag_7,19.15793,2,78.62117
sales_rolling_mean_7,10.414737,3,42.740463
sales_rolling_mean_28,9.667336,4,39.67325
dayofweek,8.597863,5,35.284294
sales_lag_1,7.6521363,6,31.403181
sales_lag_28,7.2686586,7,29.829445
sales_lag_14,6.6062512,8,27.11103
onpromotion,5.681975,9,23.317944
day,2.6940362,10,11.055907
is_weekend,2.634763,11,10.812658
cpi_normalized,1.9056014,12,7.8202925
sales_rolling_std_7,1.8090674,13,7.424132
rainfall_mm,1.0569482,14,4.3375516
windspeed_kmh,0.97640043,15,4.0069957
sales_lag_2,0.84003085,16,3.447356
month,0.57487744,17,2.3592076
temperature_c,0.5321409,18,2.1838236
quarter,0.19412814,19,0.79667175
is_month_start,0.10126087,20,0.41555887
fuel_normalized,0.083937995,21,0.3444685
holiday_impact,0.06909529,22,0.28355634
is_month_end,0.0048583676,23,0.019937987
