feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,32.787773,1,100.0
sales_rolling_mean_7,18.324766,2,55.889023
sales_lag_7,16.450157,3,50.17162
sales_lag_14,6.997003,4,21.34028
dayofweek,6.779141,5,20.67582
sales_lag_1,5.6490884,6,17.229254
sales_lag_28,5.326172,7,16.244385
family_encoded,2.6240423,8,8.003112
day,2.2080247,9,6.734293
is_weekend,1.8576494,10,5.6656775
cpi_normalized,1.4070307,11,4.2913275
sales_rolling_std_7,1.0835873,12,3.3048518
onpromotion,0.6747414,13,2.0579054
sales_lag_2,0.6297702,14,1.9207472
rainfall_mm,0.3894556,15,1.1878074
windspeed_kmh,0.2508007,16,0.7649214
month,0.21736138,17,0.66293424
temperature_c,0.16103464,18,0.49114236
is_month_start,0.102217965,19,0.31175634
quarter,0.051851768,20,0.15814361
holiday_impact,0.007171783,21,0.021873346
fuel_normalized,0.0060265325,22,0.018380426
is_month_end,0.0015162696,23,0.004624497
