feature,mean_abs_shap,rank,normalized
sales_rolling_mean_28,103.03293,1,100.0
sales_rolling_mean_7,44.03406,2,42.737854
sales_lag_7,37.601078,3,36.494236
dayofweek,15.459152,4,15.004089
sales_lag_28,12.686538,5,12.31309
sales_lag_1,12.051739,6,11.696978
sales_lag_14,11.705293,7,11.36073
onpromotion,5.268861,8,5.1137643
cpi_normalized,4.6327157,9,4.496345
day,4.5444245,10,4.4106526
is_weekend,3.6559854,11,3.5483658
family_encoded,2.0468507,12,1.9865986
sales_rolling_std_7,1.831855,13,1.7779317
sales_lag_2,1.575878,14,1.5294898
rainfall_mm,1.4019113,15,1.360644
windspeed_kmh,1.3422352,16,1.3027245
temperature_c,1.1894728,17,1.1544589
month,0.8025593,18,0.7789348
is_month_start,0.21228147,19,0.20603265
quarter,0.12419526,20,0.12053939
holiday_impact,0.066209115,21,0.064260155
fuel_normalized,0.040239807,22,0.039055288
is_month_end,0.021909606,23,0.021264665
