date,cpi_index,fuel_price_lkr,cpi_normalized,fuel_normalized
2013-01-01,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-02,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-03,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-04,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-05,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-06,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-07,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-08,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-09,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-10,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-11,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-12,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-13,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-14,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-15,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-16,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-17,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-18,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-19,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-20,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-21,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-22,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-23,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-24,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-25,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-26,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-27,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-28,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-29,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-30,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-01-31,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-01,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-02,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-03,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-04,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-05,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-06,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-07,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-08,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-09,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-10,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-11,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-12,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-13,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-14,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-15,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-16,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-17,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-18,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-19,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-20,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-21,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-22,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-23,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-24,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-25,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-26,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-27,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-02-28,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-01,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-02,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-03,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-04,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-05,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-06,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-07,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-08,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-09,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-10,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-11,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-12,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-13,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-14,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-15,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-16,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-17,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-18,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-19,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-20,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-21,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-22,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-23,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-24,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-25,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-26,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-27,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-28,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-29,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-30,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-03-31,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-01,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-02,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-03,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-04,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-05,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-06,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-07,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-08,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-09,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-10,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-11,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-12,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-13,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-14,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-15,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-16,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-17,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-18,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-19,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-20,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-21,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-22,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-23,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-24,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-25,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-26,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-27,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-28,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-29,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-04-30,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-01,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-02,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-03,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-04,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-05,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-06,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-07,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-08,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-09,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-10,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-11,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-12,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-13,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-14,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-15,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-16,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-17,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-18,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-19,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-20,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-21,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-22,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-23,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-24,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-25,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
2013-05-26,122.694896603917,117.0,-1.2180307406003954,1.182669844250908
